CENTRE.NAME,POSTAL.CODE,Longtitude,Latitude
GREENERY CHILDCARE CENTRE,680483,103.7377574,1.375841487
BUBBLESLAND PLAYHOUSE PTE LTD,540238,103.898664,1.390440084
SMILING STAR SINGAPORE PTE. LTD,678295,103.7705588,1.376450756
BABYPLANET MONTESSORI PTE. LTD.,467961,103.9520868,1.31973067
YOUNG TALENTS PRESKOOL PTE LTD,390049,103.8854248,1.308882618
SMARTIE COTTAGE,792405,103.8736702,1.389002004
GENIUS SCHOOL HOUSE,824637,103.9154647,1.399057628
NUTURE TOTS PRE-SCHOOL PTE. LTD.,519923,103.9476891,1.380527139
AMAZING STAR MONTESSORI HOUSE (SN),550103,103.8702689,1.370655487
LITTLE GREENHOUSE @ S540 PTE LTD,550540,103.8725735,1.374618931
IMAN CHILDCARE PTE. LTD.,510148,103.9620786,1.362265994
EILEEN'S LEARNING CENTRE PTE. LTD.,521866,103.9344779,1.355364542
BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ FRANKEL,458235,103.9198965,1.313563585
THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,769162,103.8441861,1.411055347
DEL-CARE EDU CENTRE PTE LTD,79907,103.8436502,1.273164327
LEARNING VISION @ WORK PTE LTD,309198,103.8407939,1.320130765
YASMINE @ FRANKEL EARLY LEARNING CENTRE,461038,103.9258243,1.325924709
STAR LEARNERS @ SIMEI PTE. LTD.,489480,103.9549881,1.3378471
JOSIAH MONTESSORI : CITY CHILDCARE CENTRE,38983,103.8590144,1.295931895
LOVESHINE CHILDCARE PTE. LTD.,520473,103.9532694,1.359349632
SMARTZ PLAYHOUSE PTE. LTD.,467614,103.9419044,1.317891381
LEARNING HUB@GRACELAND PTE. LTD.,588177,103.7765394,1.342412642
CARPE DIEM KIDSWORLD PTE. LTD.,640739,103.7001201,1.345942986
LEARNING KIDZ CHILD DEVELOPMENT CENTRE LLP,550423,103.8755888,1.348490772
LITTLE GENIUS EDUCARE CENTRE,560470,103.8566942,1.364098079
CARPE DIEM KIDZ PTE. LTD.,118303,103.8004475,1.283393302
CARPE DIEM CHILDCARE PTE. LTD.,650318,103.7472824,1.360945938
PAT'S SCHOOLHOUSE PTE. LTD.,457184,103.9278183,1.315551486
ENFANT EDUCARE PTE LTD,209062,103.8625714,1.308696044
DISCOVERY KIDZ PRESCHOOL PTE. LTD.,489773,103.9513009,1.327043947
JUST KIDS @MARINE PARADE PTE. LTD.,440050,103.9158373,1.305322682
ETONHOUSE PRE-SCHOOL PTE LTD,437737,103.8866846,1.301141253
SUNSHINE KIDS EDUCARE PRIVATE LIMITED,530321,103.898278,1.367101312
BAMBINI CHILDCARE LLP,598523,103.7672211,1.342919091
EDUCA-ZION GROUP PTE. LTD.,100108,103.8102926,1.280844695
SUNFLOWER KINDERHUB  LLP,806787,103.8674238,1.380599618
SHEFFIELD KIDSWORLD (WLDS) PTE. LTD.,730660,103.7994777,1.435712135
ACEKIDZ CREATIVE EDUCARE,530924,103.882146,1.376295016
PAT'S SCHOOLHOUSE PTE. LTD.,228126,103.8479869,1.303940374
MLC (BEDOK RESERVOIR) PTE. LTD.,470718,103.9257485,1.336630599
SUNFLOWER BABY HOUSE PTE. LTD.,287994,103.7934057,1.338577187
CHERIE HEARTS NURTURE COTTAGE PTE. LTD.,759100,103.8240917,1.425366372
RAFFLES HOUSE PRESCHOOL (ROBIN CLOSE),258297,103.8268493,1.318793148
SHAWS CDLC @ MOUNTBATTEN PTE LTD,437839,103.8994936,1.303266894
CARPE DIEM CHILDCARE RESORT PTE. LTD.,829489,103.9077595,1.420395497
